自身免疫性胃炎	胃炎
鼻咽低分化鳞癌治疗后的随诊检查	鼻咽恶性肿瘤##鳞状细胞癌
右侧鼻腔新生物	鼻腔息肉
鼻骨多发骨折	鼻骨骨折
核上性麻痹	进行性核上性眼肌麻痹[斯蒂尔-里查森-奥尔谢夫斯基]
食管中-高分化鳞状细胞癌	食管中三分之一的恶性肿瘤##鳞状细胞癌
"上呼吸道感染，胃肠炎,心累待查?"	上呼吸道感染##胃肠炎
胃窦管状腺瘤伴轻-中度不典型增生Hp-	胃良性肿瘤##管状腺瘤##胃粘膜不典型增生
双膝软骨退变	双侧膝关节骨性关节病
胸中段食管鳞癌化疗后	食管胸中段恶性肿瘤##鳞状细胞癌##化学治疗
颅内病变所致的偏身无力萎缩	偏侧肢体无力##肌肉萎缩
左胫骨近端骨质改变左膝退变	单侧膝关节骨性关节病
霍奇金淋巴瘤放疗后	霍奇金淋巴瘤##恶性肿瘤放疗
卵巢高级别浆液性乳头状癌IIIc期术后	卵巢恶性肿瘤##浆液性癌##卵巢术后
"腰痛,肝脾不调"	腰痛
右肺肺纤维化纤维灶	肺诊断性影像异常##肺纤维化
"直肠癌术后（Kras 野生型）,肝转移瘤术后复"	直肠术后##直肠恶性肿瘤##肝继发恶性肿瘤##转移性癌##肝术后
新生儿缺陷缺氧性脑病后遗症	新生儿缺氧缺血性脑病##缺血缺氧性脑病后遗症
脾肿大原因待查血液系统疾病	脾大##血液和造血器官未特指的疾病
颅内脱髓鞘病变待诊	脱髓鞘病
鼻咽癌根治性放射治疗	鼻咽恶性肿瘤##癌##恶性肿瘤放疗
泌尿系异常	泌尿系统未特指的疾患
脾肿大	脾大
肺癌化疗贫血	肺恶性肿瘤##化学治疗##贫血##癌
系统性红斑狼疮关节病变	系统性红斑狼疮
周围神经病变--酒精性周围神经病变可能	多发性神经病[多发性神经炎/周围神经炎]##酒精中毒性周围神经病
热衰竭多脏器功能障碍	多脏器功能障碍综合征[MODS]##中暑
左足副舟骨左膝退变	先天性足副舟骨##单侧膝关节骨性关节病
宫壁组织显变性并见少量胎盘组织粘连	胎盘粘连不伴出血
周围神经病慢性格林巴雷急性发作	吉兰-巴雷综合征##多发性神经病[多发性神经炎/周围神经炎]
卵巢高级别浆液性腺癌III期	卵巢恶性肿瘤##浆液性腺癌
"右肾癌术后，免疫力降低,左肾多发囊肿，右肾囊肿"	肾恶性肿瘤##肾囊肿##癌
双侧额顶叶白质缺血脱髓鞘改变	脱髓鞘性白质脑病##脑血管供血不足
右胫腓骨远端粉碎性开放性骨折伴感染	胫骨远端骨折伴腓骨骨折##感染
左下肢浮肿乏力	下肢水肿##乏力
大疱性表皮松解萎缩坏死型药疹	莱尔综合征[lyell综合征]
双乳腺增生并导管扩张	乳腺增生##乳腺导管扩张症
右眼睑皮肤挫伤	眼睑挫伤
双侧输尿管肾盂肾盏积液	肾积水##输尿管积水
非霍奇金弥漫大B细胞淋巴瘤IIIA	非霍奇金淋巴瘤##弥漫大B细胞淋巴瘤
左踝副舟骨源性平足	先天性足副舟骨##扁平足
先天性右室双出口	右心室双出口
直肠中分化腺癌根治术后 IIIc期 pT4aN2aM0	直肠术后##直肠恶性肿瘤##腺癌##淋巴结继发恶性肿瘤
小细胞鳞状细胞癌	小细胞-鳞状细胞癌
新生儿RH溶血	新生儿Rh血型不合溶血病
回盲肠管状腺瘤	回肠良性肿瘤##盲肠良性肿瘤##管状腺瘤
"直肠癌 盆腔淋巴结转移 术前放化疗,恶心 呕吐"	直肠恶性肿瘤##盆腔淋巴结继发恶性肿瘤##恶性肿瘤术前放疗##恶性肿瘤术前化疗##恶心和呕吐##癌
头昏沉原因癔症样发作	头晕##癔症样发作
晚期胃癌，长期不能进食	胃恶性肿瘤##进食障碍##癌
眼睑皮肤外伤	眼睑和眼周区其他浅表损伤
脓毒血症人型葡萄球菌人型亚种	未特指的葡萄球菌性脓毒病
骨髓增殖性肿瘤治疗后	骨髓增生异常性/骨髓增殖性肿瘤(不能分型)
皮肤真皮及皮下组织癌转移	皮肤继发恶性肿瘤##转移性癌
躯体化障碍重度焦虑抑郁	焦虑状态##抑郁状态
双肺支气管扩张合并感染	支气管扩张症合并感染
痔疮术后出血	痔##出血
脑血管硬化症	脑血管硬化
右手拇指挤压离断伤	拇指挤压伤##手指开放性损伤
胃癌伴幽门梗阻	胃恶性肿瘤##幽门梗阻##癌
腰椎间隙感染	感染
侧脑室异常信号影	"颅骨和头诊断性影像检查的异常所见,不可归类在他处者"
原发性肝癌（右）肝动脉插管化疗栓塞术后	肝恶性肿瘤##癌
单纯疱疹病毒性脑膜脑炎	单纯疱疹病毒性脑炎
肺动脉收缩压中度增高心功能Ⅲ-Ⅳ级	中度肺动脉高压##心功能III级(NYHA分级)##心功能IV级(NYHA分级)
"右肺下叶低分化癌骨转移 淋巴结转移 IV期,双肺多发小结节性质待查"	右肺下叶恶性肿瘤##骨继发恶性肿瘤##淋巴结继发恶性肿瘤##肺占位性病变##癌##转移性癌
原发性右肝癌	肝恶性肿瘤##癌
原发性甲状腺机能亢进症(复发)	原发性甲状腺功能亢进
"直肠癌,化疗,贫血,肝损伤"	直肠恶性肿瘤##化学治疗##贫血##肝损伤##癌
右眼睑感染	眼睑未特指的炎症
卵巢中低分化腺癌	卵巢恶性肿瘤##腺癌
口腔软组织挫伤	口腔和咽喉部损伤
左手指动脉畸形	周围动脉畸形
肩胛痛;颈椎间盘突出	背痛##颈椎间盘突出
右侧下牙龈癌	牙龈恶性肿瘤##癌
右腕部正中神经部分断裂	腕部正中神经损伤##正中神经断裂
直肠粘膜低级别管状腺瘤	直肠良性肿瘤##管状腺瘤
右眼球贯通伤	眼球贯通伤不伴有异物
手术后状态(宫内节育器置入)	具有子宫内避孕装置##其他特指的手术后状态
原发性皮肤钙质沉着	钙质沉着症
双侧骨性关节炎	骨关节病
右肺中叶结核性肉芽肿性改变	肺肉芽肿##肺结核
双卵巢低中分化浆液性乳头状腺癌	卵巢恶性肿瘤##乳头状浆液性腺癌
"右頬部鳞癌放疗,慢性牙周炎,下肢软组织恶性肿瘤,慢性牙周炎,残根,深龋,牙列缺损,开口受限"	颊部恶性肿瘤##鳞状细胞癌##恶性肿瘤放疗##慢性牙周炎##下肢软组织恶性肿瘤##慢性牙周炎##残留牙根##龋病##牙列缺损
因子Ⅷ缺乏伴有血管缺陷	凝血因子Ⅶ缺乏
左耳听阈轻度增高	听力减退
子宫肌间型平滑肌瘤	子宫平滑肌瘤##子宫平滑肌瘤
冠心病\支架术后\心绞痛	冠状动脉粥样硬化性心脏病##冠状动脉支架植入术后状态##心绞痛
个矮	身材矮小症
心湿性心脏病心功能１级	风湿性心脏病##心功能I级(NYHA分级)
早泄腰痛及右睾丸	早泄##腰痛
右腰背部肉芽肿性炎	肉芽肿
后躯干药物腐蚀后皮肤破损	腐蚀伤##皮肤缺损
左肺非小细胞肺癌Ⅳb期 cT4 N2 M1c 化疗	左肺恶性肿瘤##非小细胞癌##化学治疗##淋巴结继发恶性肿瘤
1妊娠晚期胎盘2胎膜脐带大致正常	妊娠状态
内风湿周围神经病变	多发性神经病[多发性神经炎/周围神经炎]
右膝髌骨骨梗死左肩峰下撞击征	骨坏死##肩撞击综合征
盆腔低分化神经母细胞瘤高危ufh型3期术前化疗5次术后化疗	盆腔恶性肿瘤##神经母细胞瘤##恶性肿瘤术前化疗##恶性肿瘤术后化疗
卵圆孔未闭或小房间缺损	卵圆孔未闭##房间隔缺损
双侧眉弓软组织挫裂伤	眉弓挫伤##眉弓裂伤
慢性移植物抗宿主反应病皮肤口腔指甲	慢性移植物抗宿主病
右下肢静脉曲张并血栓形成	下肢静脉曲张##下肢静脉血栓形成
左前降支肌桥轻度	冠状动脉肌桥
孕38+1周羊水偏少	孕38周##羊水过少
颈椎骨折术后	颈椎骨折##骨折术后
左口角粘膜包块	口腔肿物
眼外肌不全麻痹右外直肌右下直肌	眼下直肌麻痹
肿瘤骨转移胃炎	骨继发恶性肿瘤##转移性肿瘤##胃炎
直肠下段类癌	类癌瘤
右腘动脉支架置入术	周围血管支架植入术后状态
肾病(轻链沉积)	轻链肾病
女性乳腺癌	乳腺恶性肿瘤##癌
甲状腺压迫综合症	颈交感神经麻痹[霍纳综合征]
乙状结肠癌肝多发转移原发灶切除术后（T4N1M1 IV期）	结肠术后##乙状结肠恶性肿瘤##肝继发恶性肿瘤##癌##转移性癌
鼻部纤维丘疹病	丘疹
右髂总静脉血栓形成	髂静脉血栓形成
右足舟骨及骰骨撕脱性骨折	足舟骨骨折##骰骨骨折
肾小球系膜细胞及基质轻度增生	系膜增殖性肾小球肾炎
右眼睑色素斑	色素沉着未特指的疾患
支气管炎肺气肿	支气管炎##肺气肿
非化脓性静脉窦血栓形成	非化脓性颅内静脉窦血栓形成
B细胞肿瘤	B细胞淋巴瘤##淋巴瘤
双侧肾输尿管切除术后	肾术后##输尿管术后
妊娠出血	妊娠状态##出血
左手掌面皮肤软组织大部缺失神经血管缺失	皮肤缺损##血管断裂##神经断裂
上肢动静脉瘘	动静脉瘘
骶骨外伤	骶骨骨折
左肺部块影待查：肺恶性肿瘤？肺炎？肺结核？	肺部阴影##左肺恶性肿瘤##肺炎##肺结核
十二指肠降部腺瘤	十二指肠良性肿瘤##腺瘤
重度骨质疏松症冠心病高血压结缔组织病	重度骨质疏松##冠状动脉粥样硬化性心脏病##高血压##结缔组织病
多指[趾]和并指[趾]畸形	多指[趾]和并指[趾]畸形
右侧DDHCroweIV型继发OA	先天性髋关节发育不良##髋骨关节病
胃食管连接处慢性炎	胃炎##食管炎
右侧胸水原因1肝源性2其他	胸腔积液
横结肠造痿术后	结肠造口状态
G2P2孕38+2周宫内妊娠顺娩LOA	头位顺产
下肢静脉瓣膜功能不全	下肢静脉功能不全
完全性肺静脉异位引流心上型伴梗阻	"完全性肺静脉异位引流,心上型"
复极延迟综合征	长QT综合征
右桡骨头骨裂无移位	桡骨头骨折
消化性溃疡伴出血和穿孔	消化性溃疡伴出血##消化性溃疡伴穿孔
前降支肌桥	冠状动脉肌桥
脾血管扩张充血符合淤血性脾肿大	脾大
冠状动脉粥样硬化(狭窄)	冠状动脉狭窄##冠状动脉粥样硬化
经尿道输尿管软镜激光碎石术	输尿管结石
右坐骨神经瘤	神经瘤##坐骨神经良性肿瘤
左盂肱关节破坏结核性类风湿性	类风湿性肩关节炎##肩关节结核
升结肠管状腺瘤	升结肠恶性肿瘤##管状腺瘤
左肺中分化腺癌(T4N3M1)IV期	左肺恶性肿瘤##腺癌##淋巴结继发恶性肿瘤
副脾符合副脾伴淤血性肿大	先天性副脾##脾大
"肾移植术后,肺部感染"	肾移植状态##肺部感染
"食管癌,化疗呕吐反流性食管病,低钾血症水肿,行动不便,白细胞低,咳嗽"	食管恶性肿瘤##化学治疗##呕吐##反流性食管炎##低钾血症##水肿##白细胞减少##咳嗽##癌
月经不调肝肾不足	月经紊乱
急性缺血性脑病	脑血管供血不足
纵隔支气管囊肿	纵隔囊肿##支气管囊肿
双眼上睑倒睫术后	倒睫##眼术后
双肺挫伤伴感染	肺挫伤##肺部感染
产伤性Ⅱ度会阴裂伤	分娩伴会阴裂伤II度
低钾；肾癌术后；前列腺癌；颌下感染	低钾血症##肾恶性肿瘤##肾术后##前列腺恶性肿瘤##颌下感染##癌
下肢挫伤上肢挫伤	"上肢损伤##下肢未特指的损伤,水平未特指"
脑静脉血栓形成	脑血栓形成##静脉血栓形成
急性发热性中性白细胞皮肤病	急性发热性嗜中性皮病
陈发性房颤，窦缓	阵发性心房颤动##窦性心动过缓
间断眼睑浮肿左下肢轻微浮肿	下肢水肿##眼睑水肿
胎膜及脐带未见明显异常胎盘绒毛多灶性梗死	胎盘梗死
右胸腔巨大占位并胸腔积液	胸腔积液##胸部占位
腰椎间盘突出症继发椎管狭窄	腰椎间盘突出##腰椎管狭窄
恶性肿瘤局部动脉灌注治疗	部位未特指的恶性肿瘤##恶性肿瘤灌注治疗
肺气肿并肺大疱形成	大疱性肺气肿
特指手术后状态(甲状腺癌术后、子宫肌瘤剜除术后、宫外孕术后)	其他特指的手术后状态##甲状腺恶性肿瘤##甲状腺术后##癌##子宫平滑肌瘤##子宫术后##异位妊娠
视神经发良不良	视神经发育不良
宫颈锥切术后	宫颈术后
右侧骶韧带妊娠	异位妊娠
面部粟粒疹尿布疹	尿布性皮炎##粟疹
电弧烧伤面部	面部烧伤##电流引起烧伤
双胎之一胎儿左心室内强光点	双胎妊娠
右乳浸润性导管癌ⅡB期(pT2N1M0)改良根治术	乳腺术后##乳腺恶性肿瘤##浸润性导管癌
身体体表40～49％烧伤	体表40-49%的烧伤
面肿湿阻血瘀月经不调淋漓	月经紊乱
去势抵抗前列腺癌	前列腺恶性肿瘤##癌
幼年性毛细血管瘤	幼年性血管瘤##毛细血管瘤
慢性粒-单核细胞白血病	慢性粒单核细胞白血病
乙型肝炎表面抗原携带者	乙型病毒性肝炎表面抗原携带者
双手麻木原因待查周围神经病变可能性大	多发性神经病[多发性神经炎/周围神经炎]
降结肠癌术后拟行第二次化疗	降结肠恶性肿瘤##癌##恶性肿瘤术后化疗
左眼角膜间质纤维化伴灶性浅表糜烂	角膜糜烂
腰椎间盘突出症高`血压	腰椎间盘突出##高血压
甲状腺良性疾病手术后	未特指的甲状腺疾患##甲状腺术后
左耳化脓性中耳炎	化脓性中耳炎
慢性非特异性溃疡性结肠炎	溃疡性结肠炎
股静脉小腿静脉疾患曲张	其他特指部位的静脉曲张
造瘘口旁皮肤红肿	人工造口状态
左腕三角软骨盘撕裂下尺桡不稳	腕部损伤##关节不稳定
右下唇鳞癌	下唇恶性肿瘤##鳞状细胞癌
急性肾炎综合症	急性肾炎综合征
双侧大隐静脉瓣膜功能不全	下肢静脉功能不全
颈髓髓内病变伴空洞形成	脊髓空洞症##脊髓病
左乳头溢液:导管内乳头状瘤	导管内乳头状瘤##乳腺良性肿瘤##乳头溢液
脑白质病 脑萎缩	脑萎缩##脑白质病
高血压伴心律失常	高血压##心律失常
左腿肿痛	下肢肿胀##下肢疼痛
胸腰椎椎间盘膨出	腰椎间盘移位##其他特指的椎间盘移位
脑静脉畸形	脑静脉畸形
左乳肿块性质待查:癌	乳房肿物##乳腺恶性肿瘤##癌
不育由于精子减少症	男性不育症##少精子症
胃窦溃疡型中低分化腺癌	胃窦恶性肿瘤##腺癌
脑内多发缺血性脱髓鞘灶幕上脑室增大	脱髓鞘病##脑室扩张
左耳外耳道疖肿耳廓疖肿	外耳道疖##耳廓疖
外阴纤维上皮间质性息肉	外阴皮赘
毛细血管扩张光老化斑	毛细血管扩张症##日晒伤
左示指皮肤缺失甲床缺损骨外露	皮肤缺损
性交出血、盆腔炎	性交后出血##女性盆腔炎
腰5椎体病变伴双下肢不全瘫	不完全性瘫痪##截瘫[双下肢瘫痪]##腰椎病
不慎摔倒致左髋部着地受伤	髋部损伤##摔伤
大肠溃疡型中分化腺癌	腺癌
主动脉瓣二尖瓣慢性病变	未特指的二尖瓣疾病##未特指的主动脉瓣疾患
骨髓增生异常骨髓增殖性肿瘤	骨髓增生异常性/骨髓增殖性肿瘤(不能分型)
不典型甲状旁腺腺瘤	甲状旁腺良性肿瘤##腺瘤
糖尿病合并症高血压病上感重度骨关节病	糖尿病性高血压##上呼吸道感染##重度骨关节病
右颈神经鞘瘤	颈部周围神经和自主神经良性肿瘤##神经鞘瘤
药疹Stevens-Johnson综合征	药物性皮炎[药疹]##史蒂文斯-约翰逊综合征
停经312周10单活胎胎儿脊髓低位	妊娠状态##先天性脊髓低位
反复睡眠差鼻塞缺钙	钙代谢紊乱
胃体印戒细胞癌	胃体恶性肿瘤##印戒细胞癌
鳃裂畸形	先天性鳃裂畸形
尺骨茎突炎	骨突炎
右足跟黑色素瘤 双肺转移	足恶性肿瘤##恶性黑色素瘤##肺继发恶性肿瘤##转移性恶性黑色素瘤
骶裂半大便失控	骶椎椎板裂##大便失禁
车祸伤，左胫骨下段骨折	胫骨远端骨折
颊部血管瘤	面部血管瘤
左腕舟骨月骨三角骨缺血坏死	月骨缺血性坏死##骨缺血性坏死
产后胎盘残留胎盘置入	胎盘部分残留不伴出血##胎盘植入不伴出血
活检病理横结肠管状腺瘤I级	管状腺瘤##横结肠良性肿瘤
肺非典型类癌	非典型类癌性瘤##肺恶性肿瘤
右侧舌根部鳞状细胞癌伴颈部淋巴结转移术后（T2N1M0）	舌恶性肿瘤##鳞状细胞癌##颈部淋巴结继发恶性肿瘤
继发不孕双侧输卵管部分切除后	继发不孕##输卵管术后
左股部病变并膝关节活动受限	骨病变
3第1次腹腔化疗后	化学治疗
（左肾）符合重复肾	重复肾
不慎被玻璃管割伤右手食指	手指开放性损伤##玻璃割伤
急性淋巴细胞白血液病	急性淋巴细胞白血病
先天性肾血管畸形	肾血管畸形
右侧面部咀嚼瞬目综合症	下颌瞬目综合征[MarcusGunn综合征]
急性T髓混合细胞性白血病	T淋巴细胞和髓系混合表型急性白血病
支气管哮喘；免疫紊乱;	支气管哮喘
左踝关节及距下关节骨质破坏伴局部缺失	骨质破坏
原发退变性胸腰椎侧凸	脊柱侧弯##脊椎退行性病变
左下肢浮肿待查淋巴管回流障碍可能性大	淋巴回流障碍##下肢水肿
食管髓质型低分化鳞状细胞癌	食管恶性肿瘤##鳞状细胞癌
黄斑裂孔特发性	黄斑裂孔
意义未明单克隆免疫球蛋白血症	意义未明的单克隆丙种球蛋白病
右肺淋巴结增生性病变	淋巴组织增生
右环指近节指骨近端内生软骨瘤	指骨近节骨折
其他特指皮肤棘层松解性疾患	其他特指的皮肤棘层松解性疾患
头面部外伤-头外伤后反应左第八肋骨骨折	头部损伤##面部损伤##肋骨骨折
语言功能障碍	言语和语言发育障碍
凝血功能障碍维生素K依赖性	凝血功能障碍##维生素K缺乏
心功能4级(KILLIP分级)	KillipIV级
右侧颈内动脉C1段动脉瘤	颈内动脉瘤
左乳腺肿物伴感染	乳房肿物##感染
结核性软组织炎	结核感染
左侧胸部贯通枪伤	胸部开放性损伤##枪击伤
急性喉炎并喉梗阻I度	急性喉炎##喉梗阻
哮喘(Athmas)	支气管哮喘
胃浸润型印戒细胞癌	胃恶性肿瘤##印戒细胞癌
左乳晕溃疡性质待查考虑Paget‘s病	乳房佩吉特病##乳晕恶性肿瘤
腰椎退行性变并椎间盘突出	腰椎退行性病变##腰椎间盘突出
降结肠低级别管状腺瘤	降结肠良性肿瘤##管状腺瘤
脑动脉供血不足贫血肝肾不足气阴不足	脑动脉供血不足##贫血
肛门扩约肌功能稍弱	肛门括约肌松弛
额部软组织挫擦伤	头部损伤
右手舟骨月骨脱位伴月骨坏死	腕舟骨脱位##月骨缺血性坏死
关节固定术后状态	关节固定术状态
"左眼顿挫伤,眼睑皮下淤血"	眼和眶其他损伤##眼睑皮下淤血
胸椎管内神经鞘瘤	神经鞘瘤##椎管内良性肿瘤
"胰头部占位,肝内多发可疑转移"	胰腺占位性病变##肝继发恶性肿瘤##转移性肿瘤
色素牙	牙齿变色
G4P2孕39周已产LOA	正常分娩
胸腰椎多发陈旧骨折	胸椎多发性骨折##陈旧性胸椎骨折##腰椎多发性骨折##陈旧性腰椎骨折
子宫肌肿瘤	子宫平滑肌瘤##子宫平滑肌瘤
"胃癌,腹腔腹膜后淋巴结M,疼痛,呕吐,便秘"	胃恶性肿瘤##癌##腹腔淋巴结继发恶性肿瘤##腹膜后淋巴结继发恶性肿瘤##疼痛##呕吐##便秘
急性中耳炎;鼻中隔偏曲;慢性鼻咽炎;鼻炎;外耳道疖;变应性支气管炎	急性中耳炎##鼻中隔偏曲##慢性鼻咽炎##鼻炎##外耳道疖##支气管炎
妊娠合并胎儿畸形	胎儿畸形
B淋巴细胞淋巴组织增生性病	淋巴细胞增殖性疾病##淋巴组织增生
右肘游离体创伤性OA	肘关节内游离体##肘骨关节病
乳腺癌术后左颈部淋巴结肿大	乳腺术后##乳腺恶性肿瘤##癌##颈淋巴结肿大
右手掌疤痕挛缩伴食指屈指肌腱粘连	瘢痕挛缩##手指屈肌肌腱粘连
胃底中分化腺癌	胃底恶性肿瘤##腺癌
左膝腘窝软组织劳损	膝的其他和未特指部位的扭伤和劳损
直肠隆起型中分化腺癌	直肠恶性肿瘤##腺癌
吐血查因右上纵膈气体	咯血
"右侧乳腺癌，晚期,高血压病"	乳腺恶性肿瘤##癌##高血压
镜面右位心	镜面右位心
左肺转移	肺继发恶性肿瘤##转移性肿瘤
卵巢继发癌	卵巢继发恶性肿瘤##继发性癌
神经症右下肺间质性损害	神经症性障碍##间质性肺病
进行性掌指角皮病	角化病
色素沉着原因待查扁平苔藓	色素沉着未特指的疾患##扁平苔癣
阴囊阴茎派杰病	乳房以外的佩吉特病##阴囊恶性肿瘤##阴茎恶性肿瘤
1左距腓前韧带撕裂2左跟腓韧带撕裂	踝距腓前韧带断裂##跟腓韧带断裂
升结肠中分化腺癌pT1N0M0	升结肠恶性肿瘤##腺癌
右肺上叶轻度支气管扩张	支气管扩张症
十二指肠壶腹癌IV期化疗	法特壶腹恶性肿瘤##癌##化学治疗
L1腰椎压缩性骨折	腰椎压缩性骨折
内侧指神经血管断裂	血管断裂##神经断裂
鼻部癌	鼻部恶性肿瘤##癌
右侧卵巢囊肿术后	卵巢囊肿##卵巢术后
右手桡骨伸直性骨折	桡骨骨折
右枕部异常信号影	"颅骨和头诊断性影像检查的异常所见,不可归类在他处者"
右卵巢成熟性囊性畸胎瘤蒂扭转	成熟型囊性畸胎瘤##卵巢良性肿瘤
混合性肝细胞癌和胆管癌	肝细胞癌##胆管癌
左心收缩功能减弱	心功能不全
右侧头面部软组织挫伤	头皮挫伤
十二指肠至空肠粘膜慢性炎粘膜肌层内?	慢性肠炎
停经276周B超提示胎儿右侧胸腔低回声	妊娠状态
右前臂背伸肌腱陈旧性继裂	上肢肌肉肌腱断裂
左踝、颈外伤	颈部损伤##踝部损伤
上呼吸道感染、呕吐（胃炎）	上呼吸道感染##呕吐##胃炎
冰余胆总管新生物符合管状腺瘤	胆管息肉##胆管良性肿瘤##管状腺瘤
大便习惯性质改变待查肠镜检查	大便习惯改变
"胃角Ca,胃镜检查,预防出血"	胃恶性肿瘤##癌
胃窦增生行息肉横结肠管状腺瘤低级别	管状腺瘤##胃息肉##横结肠良性肿瘤
左眼突眼伴充血查因海绵窦漏	突眼性情况##海绵窦动静脉瘘
脆骨综合征	成骨不全[脆骨病]
右外耳道乳头状瘤	外耳道良性肿瘤##乳头状瘤
下唇色素斑	色素斑
中分化腺癌	腺癌
左肾缺失	先天性肾缺如
耻骨上经膀胱前列腺切除术	前列腺术后
腰45骶1椎间盘膨出椎体高信号	腰椎间盘突出##其他特指的椎间盘移位
辐射损伤	"暴露于未特指类型的辐射下造成的损伤,在未特指场所"
外阴鳞癌	外阴恶性肿瘤##鳞状细胞癌
左肘关节尺侧副韧带肱骨髁止点撕脱性骨折	肱骨骨折
室管膜瘤术后	室管膜瘤##脑术后
重度慢性牙周炎	慢性牙周炎
双小腿皮肤皮下结节性病变	下肢占位
左侧面舌部麻木查因脱髓鞘性	脱髓鞘病
甲状腺轻度非典型病变	未特指的甲状腺疾患
右侧臀部胚胎性横纹肌肉瘤术后复发	臀部恶性肿瘤##胚胎型横纹肌肉瘤##恶性肿瘤复发
肝左内叶胆囊窝旁低密度影考虑小囊肿	肝囊肿
食管低分化癌	食管恶性肿瘤##癌
产后出血术中	产后即时出血
右乳良性分叶状肿瘤	乳腺良性肿瘤##良性叶状瘤
关节周围软组织挫伤	"躯干未特指的损伤,水平未特指"
急性移植抗宿主病皮肤胃肠道	急性移植物抗宿主病
左肺腺癌根治术后伴双肺转移	肺术后##左肺恶性肿瘤##肺继发恶性肿瘤##腺癌##转移性腺癌
胆囊癌，高血压	胆囊恶性肿瘤##癌##高血压
颈腰部软组织劳损	肩颈部劳损##腰部劳损
盆腔腹膜多发低回声结节	腹膜占位##盆腔占位
"上呼吸道感染慢性咽炎感冒,口腔黏膜溃疡,胃镜检查,病毒性感冒"	上呼吸道感染##慢性咽炎##感冒##口腔黏膜溃疡##病毒性感冒
6指畸形	多指
AECOPD肺心衰右侧包裹性胸水	慢性阻塞性肺疾病急性加重##包裹性胸腔积液##心力衰竭
多发椎体骨质破坏并不全瘫	不完全性瘫痪##骨质破坏
上颌前牙釉质发育不全	釉质发育不全
多发性脑梗塞；脑缺血脱髓鞘；记忆力减退	多发性脑梗死##脑血管供血不足##脱髓鞘性脑病
滤泡性淋巴瘤伴弥漫性大B细胞淋巴瘤转化	滤泡淋巴瘤##弥漫大B细胞淋巴瘤
硬化萎缩性苔藓左腋部复诊	硬化性萎缩性苔癣[白点病]
自身免疫性疾病倾向	自身免疫病
左颊部及右舌部扁平苔藓	口腔扁平苔癣##舌扁平苔癣
造瘘口部分肠管坏死伴坍陷	肠坏死##人工造口状态
副乳头	副乳头
慢性肾功能衰竭;急性肾损害;防冻液中毒，中毒性脑病	慢性肾衰竭##急性肾功能不全##防冻液中毒##中毒性脑病
子宫不全纵膈	子宫不全纵隔
"冠心病,心绞痛型+缺血性心肌病"	心绞痛##缺血性心肌病##冠状动脉粥样硬化性心脏病
特指手术后状态(右髋骨、手掌骨折术后)	其他特指的手术后状态##骨盆骨折##掌骨骨折##骨折术后
直肠管状腺癌（T2N0M0)I期	直肠恶性肿瘤##管状腺癌
肝门部胆管细胞癌	肝恶性肿瘤##肝胆管细胞癌
多发性大肠息肉	大肠息肉
双卵巢子宫内膜样囊肿	卵巢囊肿
头痛.头晕.高血压	头痛##头晕##高血压
右睾丸精原细胞瘤T1N0M0	精原细胞瘤##睾丸恶性肿瘤
右下肢神经病变	多发性神经病[多发性神经炎/周围神经炎]
车祸伤:左踝部皮肤软组织撕脱伤伴骨外露	下肢撕脱伤
左拇指多指畸形	未特指的多指[趾]畸形
舌系带矫正术后	舌术后
贲门早CA 胃息肉	贲门恶性肿瘤##癌##胃息肉
早孕合泌感	妊娠状态##泌尿系感染
妊娠合并子宫肌瘤红色变性	妊娠合并子宫肌瘤
右侧甲状腺滤泡型腺瘤囊性变	甲状腺良性肿瘤##滤泡性腺瘤
腰椎管占位	椎管内占位性病变
新生儿血型不合溶血症	新生儿溶血
左上颌窦真菌送检为真菌团倾向为曲霉菌	上颌窦曲霉菌病
右食指无力待查	肌无力
宫颈局灶复鳞上皮呈CINII级并累及腺体	宫颈上皮瘤样病变[CIN]II级
右锁骨上淋巴结继发恶性肿瘤放化疗后	锁骨上淋巴结继发恶性肿瘤##恶性肿瘤放疗##化学治疗
急性粒细胞白血病MCR2	急性粒细胞性白血病##急性粒细胞白血病
乙脑后遗症右上强直瘫	流行性乙型脑炎后遗症
左侧上颌窦炎性假瘤	上颌窦肿物##炎性假瘤
后枕部头皮压疮并头皮坏死	压疮
"高血压病,糖尿病,冠心病，白内障"	高血压##糖尿病##冠状动脉粥样硬化性心脏病##白内障
回盲部黄色肉芽肿性炎	黄肉芽肿
颅内多发性结核瘤	结核感染
"结肠癌术后肝转移 手术及RFA治疗后,贫血 白"	结肠术后##结肠恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌##贫血##恶性肿瘤射频治疗
右上腭鳞癌	腭恶性肿瘤##鳞状细胞癌
F2脐动脉舒张期血流缺失	脐血流异常
停经281周B超提示胎儿肠管明显扩张	妊娠状态
36颊侧移位II度松动	牙齿移位
左侧口底粘膜下血肿机化	血肿机化
宫颈高危HPV53高PRL血症	高泌乳素血症##人乳头瘤病毒感染
"胃溃疡、反酸,甲状腺癌术后"	胃溃疡##反酸##甲状腺术后##甲状腺恶性肿瘤##癌
美尼尔氏综合症膜迷路积水	膜迷路积水##梅尼埃病
低钾低钠血症	低钠血症##低钾血症
急性脑梗死右侧颞枕叶出血性梗死	脑梗死##多发性脑梗死##出血性脑梗死
